,Question,Relevancy,Ground Truth Response,Predicted Relevancy,LLM Response V1,LLM Response V2,LLM V1 Rating,LLM V2 Rating,Human V1 Rating,Human V2 Rating
10,Can I take Introduction to Abstract Math instead of Logic and Computation?,Advising,"Yes, if you are double majoring in Math, Introduction to Abstract Math can substitute Logic and Computation.",Advising,"Yes, students double majoring or minoring in CS and Math can take Introduction to Abstract Math as a substitute for Logic and Computation.",Not relevant to advising.,4.0,1.0,4,3
11,Is Linear Algebra required for the B.A. in CS for the class of 2028?,Advising,"Yes, students pursuing a B.A. in the class of 2028 are required to take Linear Algebra.",Advising,"Yes, Linear Algebra is required for the B.A. in CS for the class of 2028.","Yes, Linear Algebra is required for the B.A. in Computer Science for the class of 2028 at Boston College.",4.0,4.0,4,3
12,What happens if I don't meet with my advisor before registering?,Advising,You won’t be able to register without discussing your courses with your advisor.,Advising,You won't be able to register without discussing your courses with your advisor.,"You may miss important guidance and resources, which could impact your course selection and academic planning.",5.0,3.0,4,2
13,Are there restrictions on taking courses pass/fail for the CS major?,Advising,"Yes, courses that count toward the major cannot be taken pass/fail, including co-requisites.",Advising,"Yes, you cannot take courses pass/fail if they count toward your major or minor.","Yes, Computer Science majors at Boston College have specific restrictions on taking courses pass/fail, particularly for core and major requirements.",3.0,5.0,4,2
14,Can I double count courses between my CS major and minor?,Advising,"Yes, but each major needs at least 27 unique credits, and the minor needs 15 unique credits.",Advising,"Yes, you can double count courses between your CS major and minor, but each major needs at least 27 unique credits and the minor needs at least 15 unique credits.","Yes, you can typically double count certain courses between your CS major and minor, but it's best to consult your academic advisor for specific policies.",5.0,3.0,5,3
15,Who do I contact about course substitution waivers for the CS program?,Advising,The Undergraduate Program Director handles course substitution waivers.,Advising,You should contact Prof. Maira Samary for course substitution waivers for the CS program.,Please contact the Computer Science department's academic advisor for course substitution waivers.,2.0,2.0,5,3
16,How do I check my academic progress toward graduation?,Advising,You can discuss your academic progress with your advisor and review it in your Degree Audit.,Advising,Not relevant to advising.,You can check your academic progress toward graduation through the Eagle Apps portal or by consulting with your academic advisor.,1.0,5.0,4,2
17,Can Probability substitute for Randomness and Computation in the CS major?,Advising,"Yes, if you’re a double major in Math, Probability can substitute for Randomness and Computation.",Advising,"Yes, Probability can substitute for Randomness and Computation if you're double majoring or minoring in CS and Math, but a substitution form must be filled out.",Not relevant to advising.,3.0,1.0,4,3
18,Are there CS electives that count from other schools?,Advising,"Yes, only ECON338201 Introduction to Computational Investing and ECON338901 Machine Learning for Economics are accepted as electives.",Advising,Only ECON338201 Introduction to Computational Investing and ECON338901 Machine Learning for Economics from CSOM are accepted as CS electives; no Woods College courses are accepted.,"Yes, Boston College allows certain CS electives from other accredited institutions to count towards your degree, subject to approval.",5.0,2.0,4,2
19,Is there a limit on independent study credits that count toward the CS major?,Advising,Only the first three credits of independent study count toward the CS major; additional credits count as Morrissey electives.,Advising,"Yes, only the first three independent study credits count toward the CS major; additional credits will count as Morrissey elective credits.","Yes, there is a limit on independent study credits that can count toward the CS major at Boston College.",5.0,3.0,5,3
20,How many lab-based science courses are required for the B.S. in CS?,Advising,The B.S. requires two lab-based science courses.,Advising,Two lab-based science courses are required for the B.S. in Computer Science.,Not relevant to advising.,5.0,1.0,5,3
21,Do I need departmental approval to place out of CS1?,Advising,"Yes, placing out of CS1 requires departmental approval.",Advising,"Yes, placing out of CS1 requires departmental approval.","Yes, you need departmental approval to place out of CS1 at Boston College.",5.0,5.0,4,2
22,Where can I find the form for study abroad course approval?,Advising,The study abroad course approval form is available from the Undergraduate Program Director.,Advising,Not relevant to advising.,Not relevant to advising.,1.0,1.0,5,2
23,Can I do research for credit in the CS program?,Advising,"Yes, you can collaborate with a CS faculty member for independent study credit, which counts as a 3000-level elective.",Advising,"Yes, you can collaborate with a CS faculty member for an independent study course that counts as a 3000-level elective.","Yes, you can do research for credit in the CS program at Boston College.",5.0,4.0,4,3
24,Do I have to complete Logic and Computation before Randomness and Computation?,Advising,"Logic and Computation should be taken before Randomness and Computation, but R&C can be taken concurrently with Algorithms.",Advising,"Yes, Logic and Computation must be completed before taking Randomness and Computation.",Not relevant to advising.,3.0,1.0,5,2
25,Are there any math requirements for the CS major besides Calculus?,Advising,"Yes, the B.A. for the class of 2028 also requires Linear Algebra.",Advising,"Yes, the B.S. in CS has additional math requirements, including Linear Algebra for BA students in the class of 2028 and beyond.","Yes, there are additional math requirements for the CS major, includingDiscrete Mathematics and Probability.",2.0,2.0,4,2
26,Is the B.S. more focused on science and math than the B.A.?,Advising,"Yes, the B.S. program has more stringent science and math requirements.",Advising,"Yes, the B.S. program has more stringent science and math requirements compared to the B.A. program.","Yes, the B.S. in Computer Science at Boston College is more focused on science and math compared to the B.A.",5.0,5.0,5,2
27,Do I need to take both Logic and Computation and Randomness and Computation for the CS major?,Advising,"Yes, both courses are required, and Logic and Computation should be taken before Randomness and Computation.",Advising,"Yes, you need to take both Logic and Computation and Randomness and Computation for the CS major, with Logic and Computation required before Algorithms and Randomness and Computation preferably taken beforehand.","Yes, both courses are required for the CS major at Boston College.",3.0,3.0,4,2
28,Can I count ECON338201 as a CS elective?,Advising,"Yes, ECON338201 Introduction to Computational Investing counts as a 3000-level elective for the CS major.",Advising,"Yes, ECON338201 Introduction to Computational Investing can be counted as a 3000-level elective for the CS major.",Not relevant to advising.,5.0,1.0,4,2
29,What are the prerequisites for Algorithms?,Advising,"Logic and Computation must be completed before Algorithms, and it’s preferable to take Randomness and Computation before as well.",Advising,"The prerequisite for Algorithms is the completion of Logic and Computation (L&C), which must be taken beforehand.",The prerequisites for Algorithms at Boston College typically include courses in Data Structures and Discrete Mathematics.,4.0,2.0,5,3
30,Is there a FAQ section for advising on the CS website?,Advising,"Yes, you can check the student FAQ on the Core Curriculum website for general advising information.",Advising,"Yes, there is a FAQ section for advising on the CS website.",Not relevant to advising.,3.0,1.0,5,3
31,Are CS majors required to complete the Core Curriculum at BC?,Advising,"Yes, all students, including CS majors, must complete the university’s Core Curriculum requirements.",Advising,"Yes, CS majors are required to complete the Core Curriculum at BC.","Yes, CS majors at Boston College are required to complete the Core Curriculum.",5.0,5.0,5,3
32,Can I substitute ECON338901 for another CS elective?,Advising,"Yes, ECON338901 Machine Learning for Economics counts as a 2000-level elective.",Not Advising,Not relevant to advising.,Not relevant to advising.,1.0,1.0,4,2
33,Where is the CS department located?,Not Advising,This is unrelated to advising.,Not Advising,Not relevant to advising.,The Computer Science department at Boston College is located in the Maloney Hall.,5.0,1.0,4,3
34,What events are hosted for CS majors?,Not Advising,This is unrelated to academic advising.,Not Advising,Not relevant to advising.,"Boston College hosts various events for CS majors, including tech talks, networking events, and coding competitions.",5.0,5.0,5,3
35,Are there study spaces reserved for CS students?,Not Advising,This is unrelated to academic advising.,Not Advising,Not relevant to advising.,"Yes, there are designated study spaces for Computer Science students at Boston College.",5.0,1.0,4,3
36,Can you recommend any CS clubs on campus?,Not Advising,This question does not relate to advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,4,3
37,Where is the nearest parking lot to the CS building?,Not Advising,This is not relevant to academic advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,5,3
38,Who is the head of the CS department?,Not Advising,Not related to advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,5,2
39,What dining options are available on campus?,Not Advising,This is not related to advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,4,2
40,How can I apply to be a TA for a CS course?,Not Advising,"Not relevant to advising, though may require department consultation.",Not Advising,Not relevant to advising.,You can apply to be a TA for a CS course by contacting the course instructor or visiting the Computer Science department's website for specific application instructions.,4.0,4.0,4,3
41,What other majors pair well with CS?,Not Advising,This question is not specific to academic advising for a CS degree.,Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,4,3
42,Are there study groups for Algorithms?,Not Advising,This question is unrelated to academic advising.,Not Advising,Not relevant to advising.,"Yes, there are study groups for Algorithms at Boston College.",5.0,1.0,4,2
43,What programming languages will I learn as a CS major?,Not Advising,"While relevant to CS, this is not a specific advising question.",Not Advising,Not relevant to advising.,"As a CS major at Boston College, you will likely learn languages such as Java, Python, and C++.",5.0,2.0,4,3
44,Can I work on a project with a professor outside of CS?,Not Advising,This question does not pertain directly to CS advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,4,3
45,Is it possible to join a research lab without getting credit?,Not Advising,This question may require department consultation but is not directly about advising.,Advising,Not relevant to advising.,"Yes, you can join a research lab without receiving academic credit at Boston College.",4.0,2.0,4,3
46,Does the library have CS textbooks?,Not Advising,This is not specific to academic advising.,Not Advising,Not relevant to advising.,Not relevant to advising.,5.0,5.0,5,2
47,How can I improve my GPA in CS?,Not Advising,This question does not directly relate to academic advising.,Advising,Not relevant to advising.,"Consider utilizing campus resources such as tutoring, study groups, and meeting with your professors for additional support.",5.0,1.0,5,2
48,Who should I talk to about career planning?,Not Advising,"This question is related to career guidance, not academic advising.",Advising,"You should discuss career planning with your academic advisor, who can provide guidance on your options.",You should speak with the Career Center or your academic advisor for career planning at Boston College.,2.0,3.0,5,3
49,Are there internships recommended for CS majors?,Not Advising,Internship information is not specific to academic advising.,Not Advising,Not relevant to advising.,"Yes, students are encouraged to pursue internships to gain practical experience and enhance their learning in the Computer Science field.",5.0,2.0,4,3
